batter,swing_speed_rank,player_name,swing_length_rank,launch_angle_rank,exit_velo_rank,risp_woba_rank,pitch_hand_woba_rank,avgbypitch_wobarank,average_rank
444482,220.0,"Peralta, David",252.0,299.0,169.0,120.0,359.0,1251.8,381.54285714285714
453568,381.0,"Blackmon, Charlie",276.0,103.0,359.0,246.0,393.0,1180.7142857142858,419.81632653061223
456781,399.0,"Solano, Donovan",339.0,128.0,252.0,141.0,229.0,1614.0,443.14285714285717
457705,129.0,"McCutchen, Andrew",70.0,242.0,163.0,144.0,257.0,1118.2857142857142,303.3265306122449
457759,422.0,"Turner, Justin",431.0,17.0,296.0,123.0,73.0,968.3333333333334,332.9047619047619
467793,166.0,"Santana, Carlos",88.0,208.0,85.0,135.0,80.0,1190.625,278.94642857142856
500743,395.0,"Rojas, Miguel",355.0,348.0,348.0,104.0,438.0,1236.0,460.57142857142856
502054,98.0,"Pham, Tommy",364.0,319.0,35.0,163.0,197.0,1165.5714285714287,334.51020408163265
502110,130.0,"Martinez, J.D.",3.0,120.0,114.0,17.0,12.0,900.2857142857143,185.18367346938774
502671,109.0,"Goldschmidt, Paul",44.0,148.0,45.0,195.0,116.0,1137.875,256.4107142857143
514888,355.0,"Altuve, Jose",49.0,307.0,320.0,215.0,163.0,1388.125,399.5892857142857
516782,207.0,"Marte, Starling",265.0,388.0,268.0,59.0,45.0,628.1428571428571,265.734693877551
518595,183.0,"d'Arnaud, Travis",42.0,244.0,93.0,111.0,25.0,1180.3333333333333,268.3333333333333
518692,284.0,"Freeman, Freddie",392.0,205.0,146.0,24.0,217.0,669.4285714285714,276.7755102040816
518735,340.0,"Grandal, Yasmani",197.0,327.0,22.0,153.0,266.0,1113.4,345.4857142857143
518792,74.0,"Heyward, Jason",5.0,358.0,181.0,323.0,462.0,1404.8,401.11428571428576
518934,397.0,"LeMahieu, DJ",296.0,352.0,33.0,328.0,472.0,925.75,400.5357142857143
519203,346.0,"Rizzo, Anthony",395.0,219.0,220.0,310.0,717.0,1693.2857142857142,557.1836734693877
519317,1.0,"Stanton, Giancarlo",2.0,58.0,4.0,8.0,55.0,1012.5714285714286,162.93877551020407
521692,86.0,"Perez, Salvador",20.0,76.0,29.0,46.0,76.0,946.375,182.76785714285714
527038,417.0,"Flores, Wilmer",371.0,15.0,382.0,384.0,478.0,1680.6,532.5142857142857
542303,63.0,"Ozuna, Marcell",167.0,160.0,23.0,18.0,91.0,331.0,121.85714285714286
543257,386.0,"Grossman, Robbie",424.0,130.0,293.0,321.0,476.0,1555.8333333333333,512.2619047619047
543309,256.0,"Higashioka, Kyle",193.0,112.0,183.0,340.0,224.0,1446.8333333333333,393.547619047619
543510,280.0,"McCann, James",388.0,203.0,281.0,278.0,363.0,1136.75,418.5357142857143
543685,358.0,"Rendon, Anthony",398.0,34.0,204.0,331.0,563.0,1368.6666666666667,465.2380952380953
543760,374.0,"Semien, Marcus",65.0,134.0,207.0,54.0,81.0,1333.857142857143,321.26530612244903
543807,219.0,"Springer, George",141.0,366.0,299.0,87.0,226.0,1235.5,367.64285714285717
543877,369.0,"Vázquez, Christian",352.0,42.0,313.0,391.0,672.0,1771.0,558.5714285714286
545121,357.0,"Vargas, Ildemaro",321.0,399.0,230.0,275.0,328.0,1711.25,517.3214285714286
545341,76.0,"Grichuk, Randal",76.0,98.0,24.0,12.0,26.0,653.5,137.92857142857142
547180,59.0,"Harper, Bryce",203.0,193.0,101.0,38.0,52.0,744.5,198.64285714285714
553869,66.0,"Díaz, Elias",334.0,325.0,301.0,279.0,666.0,1762.1666666666667,533.3095238095239
553993,190.0,"Suárez, Eugenio",41.0,133.0,143.0,190.0,100.0,1066.2857142857142,266.18367346938777
570482,366.0,"Urshela, Gio",280.0,262.0,332.0,283.0,735.0,1488.5714285714287,535.2244897959183
571448,271.0,"Arenado, Nolan",7.0,118.0,218.0,214.0,332.0,1436.125,370.875
571657,402.0,"Farmer, Kyle",381.0,166.0,251.0,259.0,142.0,1152.1666666666667,393.30952380952385
571745,117.0,"Haniger, Mitch",288.0,297.0,41.0,277.0,630.0,1412.8333333333333,437.547619047619
571771,202.0,"Hernández, Enrique",178.0,77.0,159.0,288.0,303.0,1646.142857142857,407.59183673469386
571970,210.0,"Muncy, Max",263.0,16.0,64.0,148.0,130.0,549.3333333333334,197.1904761904762
572138,184.0,"Singleton, Jon",307.0,153.0,118.0,115.0,798.0,1373.8333333333333,435.547619047619
572191,163.0,"Taylor, Michael A.",318.0,227.0,322.0,306.0,642.0,1708.5,526.6428571428571
572233,47.0,"Walker, Christian",111.0,40.0,137.0,26.0,322.0,967.5714285714286,235.79591836734693
573262,246.0,"Yastrzemski, Mike",104.0,81.0,56.0,326.0,526.0,1214.4285714285713,364.7755102040816
575929,18.0,"Contreras, Willson",29.0,207.0,98.0,139.0,54.0,1026.3333333333333,224.47619047619045
578428,307.0,"Iglesias, Jose",380.0,351.0,329.0,271.0,191.0,1465.0,470.57142857142856
592192,361.0,"Canha, Mark",225.0,276.0,306.0,145.0,205.0,1517.2857142857142,433.61224489795916
592206,170.0,"Castellanos, Nick",102.0,249.0,225.0,68.0,77.0,960.8571428571429,264.55102040816325
592273,142.0,"Drury, Brandon",182.0,367.0,226.0,304.0,792.0,2006.6666666666667,574.2380952380953
592450,4.0,"Judge, Aaron",9.0,27.0,1.0,2.0,2.0,129.5,24.928571428571427
592518,29.0,"Machado, Manny",36.0,50.0,13.0,64.0,123.0,1165.625,211.51785714285714
592626,104.0,"Pederson, Joc",73.0,26.0,54.0,7.0,30.0,600.5714285714286,127.79591836734694
592663,87.0,"Realmuto, J.T.",62.0,290.0,112.0,74.0,78.0,1193.7142857142858,270.9591836734694
592669,23.0,"Renfroe, Hunter",61.0,147.0,115.0,213.0,453.0,1694.7142857142858,386.6734693877551
592696,296.0,"Rosario, Eddie",266.0,279.0,158.0,383.0,704.0,1891.625,568.2321428571429
592885,100.0,"Yelich, Christian",134.0,395.0,84.0,103.0,196.0,744.2,250.8857142857143
593160,436.0,"Merrifield, Whit",386.0,124.0,380.0,355.0,499.0,1551.4,533.0571428571428
593428,265.0,"Bogaerts, Xander",234.0,378.0,187.0,185.0,319.0,1295.5714285714287,409.0816326530612
593871,338.0,"Polanco, Jorge",273.0,33.0,135.0,282.0,728.0,1431.0,460.0
594807,105.0,"Duvall, Adam",71.0,39.0,239.0,313.0,33.0,1900.0,385.7142857142857
595281,339.0,"Kiermaier, Kevin",342.0,384.0,376.0,381.0,772.0,2141.714285714286,676.5306122448981
595777,236.0,"Profar, Jurickson",228.0,210.0,55.0,57.0,67.0,574.1111111111111,203.87301587301587
595879,37.0,"Báez, Javier",1.0,321.0,257.0,105.0,744.0,1917.0,483.14285714285717
595909,324.0,"Cave, Jake",347.0,372.0,341.0,341.0,473.0,1590.3333333333333,541.1904761904761
596019,141.0,"Lindor, Francisco",105.0,106.0,14.0,20.0,41.0,703.1111111111111,161.44444444444443
596103,217.0,"Slater, Austin",399.0,232.0,130.0,126.0,505.0,1431.75,434.39285714285717
596117,425.0,"Stubbs, Garrett",363.0,111.0,400.0,376.0,751.0,1991.0,631.0
596142,110.0,"Sánchez, Gary",138.0,284.0,151.0,82.0,240.0,1475.2,354.3142857142857
596146,242.0,"Kepler, Max",147.0,165.0,196.0,302.0,468.0,1581.142857142857,443.02040816326524
600869,367.0,"Candelario, Jeimer",46.0,370.0,233.0,308.0,422.0,1756.0,500.2857142857143
602104,243.0,"Urías, Ramón",127.0,197.0,109.0,287.0,232.0,1131.0,332.2857142857143
605113,401.0,"Ahmed, Nick",227.0,278.0,390.0,347.0,387.0,1573.3333333333333,514.7619047619047
605137,266.0,"Bell, Josh",24.0,260.0,210.0,58.0,520.0,1276.25,373.4642857142857
605141,351.0,"Betts, Mookie",360.0,13.0,87.0,95.0,58.0,1091.0,293.57142857142856
